Team,W,L,W/L%,GB,PS/G,PA/G,SRS
PHO,8,2,0.8,—,114.8,112.7,1.51
OKC,8,2,0.8,—,115.7,102.9,13.31
GSW,8,2,0.8,—,121.3,109.4,10.45
DEN,7,3,0.7,1.0,120.9,118.0,4.16
MEM,7,4,0.636,1.5,120.9,111.5,5.71
LAL,6,4,0.6,2.0,116.6,116.9,-0.04
LAC,6,4,0.6,2.0,108.5,106.3,2.76
MIN,6,4,0.6,2.0,113.8,108.4,3.53
HOU,6,4,0.6,2.0,111.8,107.9,6.84
SAC,6,4,0.6,2.0,117.5,113.0,1.0
DAL,5,5,0.5,3.0,114.1,110.1,3.72
SAS,4,6,0.4,4.0,106.3,108.4,-1.28
NOH,3,7,0.3,5.0,107.2,117.5,-11.75
POR,3,8,0.273,5.5,105.5,116.6,-10.93
UTH,2,7,0.222,5.5,105.0,118.9,-12.35
