Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,CLE,11,2640,507,960,0.528,168,398,0.422,339,562,0.603,168,223,0.753,86,369,455,316,104,62,148,217,1350
2.0,MEM,11,2640,491,995,0.493,137,382,0.359,354,613,0.577,211,275,0.767,129,398,527,334,89,76,191,238,1330
3.0,BOS,11,2690,452,1004,0.45,204,564,0.362,248,440,0.564,214,258,0.829,113,365,478,263,87,52,131,180,1322
4.0,ATL,11,2640,456,983,0.464,139,396,0.351,317,587,0.54,226,291,0.777,121,347,468,308,111,57,172,218,1277
5.0,TOR,11,2690,478,1022,0.468,118,357,0.331,360,665,0.541,194,259,0.749,148,334,482,327,90,55,179,282,1268
6.0,GSW,10,2425,442,924,0.478,163,413,0.395,279,511,0.546,166,229,0.725,136,346,482,302,96,57,140,227,1213
7.0,DEN,10,2450,430,903,0.476,128,317,0.404,302,586,0.515,221,283,0.781,133,337,470,307,86,50,143,191,1209
8.0,ORL,11,2640,420,951,0.442,130,427,0.304,290,524,0.553,218,283,0.77,115,358,473,272,95,66,164,216,1188
9.0,DET,11,2640,439,944,0.465,129,381,0.339,310,563,0.551,171,224,0.763,120,384,504,263,57,63,190,230,1178
10.0,SAC,10,2450,430,888,0.484,103,337,0.306,327,551,0.593,212,251,0.845,91,346,437,244,86,44,136,206,1175
11.0,LAL,10,2400,415,870,0.477,116,328,0.354,299,542,0.552,220,270,0.815,90,316,406,271,70,46,124,168,1166
12.0,IND,10,2450,432,873,0.495,124,331,0.375,308,542,0.568,174,231,0.753,83,317,400,283,74,44,142,226,1162
13.0,POR,11,2640,428,1005,0.426,111,367,0.302,317,638,0.497,194,257,0.755,147,338,485,227,95,61,177,207,1161
14.0,OKC,10,2400,431,934,0.461,137,386,0.355,294,548,0.536,158,198,0.798,94,350,444,255,120,72,124,212,1157
15.0,CHI,10,2400,413,907,0.455,155,419,0.37,258,488,0.529,167,222,0.752,106,362,468,283,72,38,160,176,1148
16.0,PHO,10,2450,404,859,0.47,154,412,0.374,250,447,0.559,186,235,0.791,84,361,445,274,74,55,138,185,1148
17.0,DAL,10,2400,428,905,0.473,127,365,0.348,301,540,0.557,158,206,0.767,108,334,442,256,77,46,117,218,1141
18.0,MIN,10,2400,408,853,0.478,164,417,0.393,244,436,0.56,158,204,0.775,97,326,423,264,72,48,165,197,1138
19.0,HOU,10,2425,412,949,0.434,117,367,0.319,295,582,0.507,177,235,0.753,149,330,479,215,79,42,123,221,1118
20.0,BKN,10,2450,400,866,0.462,140,402,0.348,260,464,0.56,172,216,0.796,94,305,399,260,75,35,150,248,1112
21.0,MIL,10,2400,403,848,0.475,126,354,0.356,277,494,0.561,174,241,0.722,84,350,434,215,65,50,138,198,1106
22.0,CHA,10,2425,393,909,0.432,160,456,0.351,233,453,0.514,149,188,0.793,127,333,460,223,74,50,162,224,1095
23.0,LAC,10,2425,395,845,0.467,121,321,0.377,274,524,0.523,174,230,0.757,119,339,458,250,83,46,172,210,1085
24.0,NOH,10,2400,392,882,0.444,115,318,0.362,277,564,0.491,173,220,0.786,117,288,405,238,84,57,150,175,1072
25.0,SAS,10,2400,388,848,0.458,125,373,0.335,263,475,0.554,162,198,0.818,108,348,456,260,79,66,169,168,1063
26.0,NYK,9,2160,383,781,0.49,122,309,0.395,261,472,0.553,142,175,0.811,90,284,374,229,62,32,112,157,1030
27.0,MIA,9,2160,347,787,0.441,131,336,0.39,216,451,0.479,156,210,0.743,96,291,387,229,85,42,119,157,981
28.0,PHI,9,2210,339,780,0.435,104,324,0.321,235,456,0.515,181,245,0.739,103,252,355,189,76,31,129,207,963
29.0,UTH,9,2160,321,765,0.42,106,335,0.316,215,430,0.5,197,247,0.798,107,304,411,212,63,52,174,166,945
30.0,WAS,8,1920,317,723,0.438,95,307,0.309,222,416,0.534,151,187,0.807,77,258,335,207,66,56,121,187,880
